Year,Category,Full Name,Birth Date,Birth Country,Death Country
1901,Chemistry,Jacobus Henricus van 't Hoff,1852-08-30,Netherlands,Germany
1901,Literature,Sully Prudhomme,1839-03-16,France,France
1901,Medicine,Emil Adolf von Behring,1854-03-15,Prussia (Poland),Germany
1901,Peace,Jean Henry Dunant,1828-05-08,Switzerland,Switzerland
1901,Peace,Frédéric Passy,1822-05-20,France,France
1901,Physics,Wilhelm Conrad Röntgen,1845-03-27,Prussia (Germany),Germany
1902,Chemistry,Hermann Emil Fischer,1852-10-09,Prussia (Germany),Germany
1902,Literature,Christian Matthias Theodor Mommsen,1817-11-30,Schleswig (Germany),Germany
1902,Medicine,Ronald Ross,1857-05-13,India,United Kingdom
1902,Peace,Élie Ducommun,1833-02-19,Switzerland,Switzerland
1902,Peace,Charles Albert Gobat,1843-05-21,Switzerland,Switzerland
1902,Physics,Hendrik Antoon Lorentz,1853-07-18,Netherlands,Netherlands
1902,Physics,Pieter Zeeman,1865-05-25,Netherlands,Netherlands
1903,Chemistry,Svante August Arrhenius,1859-02-19,Sweden,Sweden
1903,Literature,Bjørnstjerne Martinus Bjørnson,1832-12-08,Norway,France
1903,Medicine,Niels Ryberg Finsen,1860-12-15,Faroe Islands (Denmark),Denmark
1903,Peace,William Randal Cremer,1828-03-18,United Kingdom,United Kingdom
1903,Physics,Antoine Henri Becquerel,1852-12-15,France,France
1903,Physics,Pierre Curie,1859-05-15,France,France
1903,Physics,"Marie Curie, née Sklodowska",1867-11-07,Russian Empire (Poland),France
1904,Chemistry,Sir William Ramsay,1852-10-02,Scotland,United Kingdom
1904,Literature,Frédéric Mistral,1830-09-08,France,France
1904,Literature,José Echegaray y Eizaguirre,1832-04-19,Spain,Spain
1904,Medicine,Ivan Petrovich Pavlov,1849-09-14,Russia,Russia
1904,Peace,Institut de droit international (Institute of International Law),,,
1904,Physics,Lord Rayleigh (John William Strutt),1842-11-12,United Kingdom,United Kingdom
1905,Chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,1835-10-31,Prussia (Germany),Germany
1905,Literature,Henryk Sienkiewicz,1846-05-05,Poland,Switzerland
1905,Medicine,Robert Koch,1843-12-11,Germany,Germany
1905,Peace,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",1843-06-09,Austrian Empire (Czech Republic),Austria
1905,Physics,Philipp Eduard Anton von Lenard,1862-06-07,Hungary (Slovakia),Germany
1906,Chemistry,Henri Moissan,1852-09-28,France,France
1906,Literature,Giosuè Carducci,1835-07-27,Tuscany (Italy),Italy
1906,Medicine,Camillo Golgi,1843-07-07,Italy,Italy
1906,Medicine,Santiago Ramón y Cajal,1852-05-01,Spain,Spain
1906,Peace,Theodore Roosevelt,1858-10-27,United States of America,United States of America
1906,Physics,Joseph John Thomson,1856-12-18,United Kingdom,United Kingdom
1907,Chemistry,Eduard Buchner,1860-05-20,Bavaria (Germany),Romania
1907,Literature,Rudyard Kipling,1865-12-30,British India (India),United Kingdom
1907,Medicine,Charles Louis Alphonse Laveran,1845-06-18,France,France
1907,Peace,Ernesto Teodoro Moneta,1833-09-20,Austrian Empire (Italy),Italy
1907,Peace,Louis Renault,1843-05-21,France,France
1907,Physics,Albert Abraham Michelson,1852-12-19,Prussia (Poland),United States of America
1908,Chemistry,Ernest Rutherford,1871-08-30,New Zealand,United Kingdom
1908,Literature,Rudolf Christoph Eucken,1846-01-05,East Friesland (Germany),Germany
1908,Medicine,Ilya Ilyich Mechnikov,1845-05-15,Russian Empire (Ukraine),France
1908,Medicine,Paul Ehrlich,1854-03-14,Prussia (Poland),Germany
1908,Medicine,Paul Ehrlich,1854-03-14,Prussia (Poland),Germany
1908,Peace,Klas Pontus Arnoldson,1844-10-27,Sweden,Sweden
1908,Peace,Fredrik Bajer,1837-04-21,Denmark,Denmark
1908,Physics,Gabriel Lippmann,1845-08-16,Luxembourg,
1909,Chemistry,Wilhelm Ostwald,1853-09-02,Russian Empire (Latvia),Germany
1909,Literature,Selma Ottilia Lovisa Lagerlöf,1858-11-20,Sweden,Sweden
1909,Medicine,Emil Theodor Kocher,1841-08-25,Switzerland,Switzerland
1909,Peace,Auguste Marie François Beernaert,1829-07-26,Belgium,Switzerland
1909,Peace,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque",1852-11-22,France,France
1909,Physics,Guglielmo Marconi,1874-04-25,Italy,Italy
1909,Physics,Karl Ferdinand Braun,1850-06-06,Hesse-Kassel (Germany),United States of America
1910,Chemistry,Otto Wallach,1847-03-27,Germany (Russia),Germany
1910,Literature,Paul Johann Ludwig Heyse,1830-03-15,Prussia (Germany),Germany
1910,Medicine,Albrecht Kossel,1853-09-16,Mecklenburg (Germany),Germany
1910,Peace,Bureau international permanent de la Paix (Permanent International Peace Bureau),,,
1910,Physics,Johannes Diderik van der Waals,1837-11-23,Netherlands,Netherlands
1911,Chemistry,"Marie Curie, née Sklodowska",1867-11-07,Russian Empire (Poland),France
1911,Literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,1862-08-29,Belgium,France
1911,Medicine,Allvar Gullstrand,1862-06-05,Sweden,Sweden
1911,Peace,Tobias Michael Carel Asser,1838-04-28,Netherlands,Netherlands
1911,Peace,Alfred Hermann Fried,1864-11-11,Austria,Austria
1911,Physics,Wilhelm Wien,1864-01-13,Prussia (Russia),Germany
1912,Chemistry,Victor Grignard,1871-05-06,France,France
1912,Chemistry,Paul Sabatier,1854-11-05,France,France
1912,Literature,Gerhart Johann Robert Hauptmann,1862-11-15,Prussia (Germany),Germany (Poland)
1912,Medicine,Alexis Carrel,1873-06-28,France,France
1912,Peace,Elihu Root,1845-02-15,United States of America,United States of America
1912,Physics,Nils Gustaf Dalén,1869-11-30,Sweden,Sweden
1913,Chemistry,Alfred Werner,1866-12-12,France,Switzerland
1913,Literature,Rabindranath Tagore,1861-05-07,India,India
1913,Medicine,Charles Robert Richet,1850-08-26,France,France
1913,Peace,Henri La Fontaine,1854-04-22,Belgium,Belgium
1913,Physics,Heike Kamerlingh Onnes,1853-09-21,Netherlands,Netherlands
1914,Chemistry,Theodore William Richards,1868-01-31,United States of America,United States of America
1914,Medicine,Robert Bárány,1876-04-22,Austria,Sweden
1914,Physics,Max von Laue,1879-10-09,Germany,West Germany (Germany)
1915,Chemistry,Richard Martin Willstätter,1872-08-13,Germany,Switzerland
1915,Literature,Romain Rolland,1866-01-29,France,France
1915,Physics,Sir William Henry Bragg,1862-07-02,United Kingdom,United Kingdom
1915,Physics,William Lawrence Bragg,1890-03-31,Australia,United Kingdom
1916,Literature,Carl Gustaf Verner von Heidenstam,1859-07-06,Sweden,Sweden
1917,Literature,Karl Adolph Gjellerup,1857-06-02,Denmark,Germany
1917,Literature,Henrik Pontoppidan,1857-07-24,Denmark,Denmark
1917,Peace,Comité international de la Croix Rouge (International Committee of the Red Cross),,,
1917,Physics,Charles Glover Barkla,1877-06-07,United Kingdom,Scotland
1918,Chemistry,Fritz Haber,1868-12-09,Prussia (Poland),Switzerland
1918,Physics,Max Karl Ernst Ludwig Planck,1858-04-23,Schleswig (Germany),West Germany (Germany)
1919,Literature,Carl Friedrich Georg Spitteler,1845-04-24,Switzerland,Switzerland
1919,Medicine,Jules Bordet,1870-06-13,Belgium,Belgium
1919,Peace,Thomas Woodrow Wilson,1856-12-28,United States of America,United States of America
1919,Physics,Johannes Stark,1874-04-15,Germany,West Germany (Germany)
1920,Chemistry,Walther Hermann Nernst,1864-06-25,Prussia (Germany),Germany
1920,Literature,Knut Pedersen Hamsun,1859-08-04,Norway,Norway
1920,Medicine,Schack August Steenberg Krogh,1874-11-15,Denmark,Denmark
1920,Peace,Léon Victor Auguste Bourgeois,1851-05-21,France,France
1920,Physics,Charles Edouard Guillaume,1861-02-15,Switzerland,France
1921,Chemistry,Frederick Soddy,1877-09-02,United Kingdom,United Kingdom
1921,Literature,Anatole France,1844-04-16,France,France
1921,Peace,Karl Hjalmar Branting,1860-11-23,Sweden,Sweden
1921,Peace,Christian Lous Lange,1869-09-17,Norway,Norway
1921,Physics,Albert Einstein,1879-03-14,Germany,United States of America
1922,Chemistry,Francis William Aston,1877-09-01,United Kingdom,United Kingdom
1922,Literature,Jacinto Benavente,1866-08-12,Spain,Spain
1922,Medicine,Archibald Vivian Hill,1886-09-26,United Kingdom,United Kingdom
1922,Medicine,Otto Fritz Meyerhof,1884-04-12,Germany,United States of America
1922,Peace,Fridtjof Nansen,1861-10-10,Norway,Norway
